id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L02-01,Listening,"Though it was hard, I felt proud.","비록 힘들었지만, 나는 보람을 느꼈어.",G0202,양보의 접속사(though),Though + S + V,하,34,"Though it was | hard, I felt proud.","비록 힘들었지만, | 나는 보람을 느꼈어.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-02,Vocabulary,The broken chair was fixed by my dad.,부러진 의자는 아빠에 의해 수리되었다.,G0203,과거분사의 명사 수식,N + p.p.,중,36,The broken chair was | fixed by my dad.,부러진 의자는 | 아빠에 의해 수리되었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-03,Main,The man sitting under the tree is my uncle.,나무 아래에 앉아 있는 남자는 나의 삼촌이다.,G0204,현재분사의 명사 수식,N + V-ing,중,38,The man sitting under | the tree is my uncle.,나무 아래에 앉아 | 있는 남자는 나의 삼촌이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-04,Main,"Though he is old, he is very active.","비록 그는 연세가 많으시지만, 매우 활동적이시다.",G0205,양보의 접속사(though),Though + S + V,중,44,"Though he is old, | he is very active.","비록 그는 연세가 | 많으시지만, 매우 활동적이시다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-05,Reading,The girl reading a book in the corner is Nari.,구석에서 책을 읽고 있는 소녀는 나리이다.,G0210,현재분사의 명사 수식,N + V-ing,상,60,The girl reading a book | in the corner is Nari.,구석에서 책을 읽고 | 있는 소녀는 나리이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-06,Reading,The man sitting under the tree is my uncle.,나무 아래에 앉아 있는 남자는 저의 삼촌입니다.,G0204,현재분사 수식 / 양보의 접속사,N + V-ing / Though + S + V,중,38-44,The man sitting under | the tree is my uncle.,나무 아래에 앉아 | 있는 남자는 저의 삼촌입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-07,Reading,"Though he is old, he is very active.","비록 그는 연세가 많으시지만, 매우 활동적이십니다.",G0204,현재분사 수식 / 양보의 접속사,N + V-ing / Though + S + V,중,38-44,"Though he is old, | he is very active.","비록 그는 연세가 | 많으시지만, 매우 활동적이십니다.",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-08,Reading,He used to be a soccer player.,그는 축구 선수였습니다.,G0204,현재분사 수식 / 양보의 접속사,N + V-ing / Though + S + V,중,38-44,He used to | be a soccer player.,그는 | 축구 선수였습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-09,Extra/Reading_for_Fun,Listen and Answer +Question What will the speakers do in the afternoon?,듣고 대답하기 +질문 발표자들은 오후에 무엇을 할 예정인가요?,G0299,의문사 구문 / 조동사,Wh-word / Modal + V,중,31,Listen and Answer +Question What will | the speakers do in the afternoon?,듣고 대답하기 +질문 발표자들은 | 오후에 무엇을 할 예정인가요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-10,Extra/Reading_for_Fun,Save the A rctic  in D anger /T_h  e Songji Times ’s Future Listen again and complete.,Save the Arctic in Danger /T_h e 송지타임즈의 미래 다시 듣고 완성해 보세요.,G0299,비교급,Comparative,중,32,Save the A rctic  in D anger /T_h |  e Songji Times ’s Future Listen again and complete.,Save the Arctic in Danger /T_h | e 송지타임즈의 미래 다시 듣고 완성해 보세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-11,Extra/Reading_for_Fun,The program about endangered animals was interesting.,멸종위기 동물에 관한 프로그램이 흥미로웠어요.,G0299,현재분사/동명사,V-ing,중,32,The program about | endangered animals was interesting.,멸종위기 동물에 | 관한 프로그램이 흥미로웠어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-12,Extra/Reading_for_Fun,The photograph of the insects was unbelievable.,곤충 사진은 믿을 수 없을 정도였습니다.,G0299,일반 문장,-,중,32,The photograph of | the insects was unbelievable.,곤충 사진은 믿을 | 수 없을 정도였습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-13,Extra/Reading_for_Fun,"B Ice cream is more delicious, I think.",B 내 생각엔 아이스크림이 더 맛있는 것 같아.,G0299,비교급,Comparative,중,33,"B Ice cream is | more delicious, I think.",B 내 생각엔 아이스크림이 | 더 맛있는 것 같아.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-14,Extra/Reading_for_Fun,"A Which do you prefer to take, the bus or the subway?",A 버스와 지하철 중 어느 것을 타는 것을 선호하시나요?,G0299,to부정사 / 관계대명사,to + V / Relative Pronoun,중,33,"A Which do you prefer to | take, the bus or the subway?",A 버스와 지하철 중 | 어느 것을 타는 것을 선호하시나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-15,Extra/Reading_for_Fun,B I prefer to take the subway every weekday.,B 나는 평일마다 지하철을 타는 걸 더 좋아해요.,G0299,to부정사 / 비교급,to + V / Comparative,중,33,B I prefer to | take the subway every weekday.,B 나는 평일마다 지하철을 | 타는 걸 더 좋아해요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-16,Extra/Reading_for_Fun,Which Do You Like Better?,어느 것이 더 마음에 드나요?,G0299,관계대명사 / 비교급,Relative Pronoun / Comparative,중,33,Which Do | You Like Better?,어느 것이 | 더 마음에 드나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-17,Extra/Reading_for_Fun,I like dogs better.,나는 개가 더 좋다.,G0299,비교급,Comparative,중,33,I like | dogs better.,나는 개가 | 더 좋다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-18,Extra/Reading_for_Fun,They are more friendly.,그들은 더 친절합니다.,G0299,비교급,Comparative,중,33,They are | more friendly.,그들은 | 더 친절합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-19,Extra/Reading_for_Fun,I like cats better.,저는 고양이를 더 좋아해요.,G0299,비교급,Comparative,중,,I like | cats better.,저는 고양이를 | 더 좋아해요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-20,Extra/Reading_for_Fun,Cats are much cleaner than dogs.,고양이는 개보다 훨씬 깨끗합니다.,G0299,비교급,Comparative,중,33,Cats are much | cleaner than dogs.,고양이는 개보다 | 훨씬 깨끗합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-21,Extra/Reading_for_Fun,My dream is to make a fantastic team.,내 꿈은 환상적인 팀을 만드는 것이다.,G0299,to부정사 / 사역동사,to + V / make/have/let + O + V,중,34,My dream is to | make a fantastic team.,내 꿈은 환상적인 | 팀을 만드는 것이다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-22,Extra/Reading_for_Fun,A Can you tell me about your plan?,A 당신의 계획에 대해 말씀해주실 수 있나요?,G0299,조동사,Modal + V,중,34,A Can you tell | me about your plan?,A 당신의 계획에 | 대해 말씀해주실 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-23,Extra/Reading_for_Fun,I’ll tell you as soon as I can.,최대한 빨리 말씀드리겠습니다.,G0299,이유의 접속사 / 시간의 접속사,Because/Since + S + V / When/While + S + V,중,34,I’ll tell you as | soon as I can.,최대한 | 빨리 말씀드리겠습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-24,Extra/Reading_for_Fun,Can You Tell Me More About It?,그것에 대해 더 말해주실 수 있나요?,G0299,조동사 / 비교급,Modal + V / Comparative,중,34,Can You Tell | Me More About It?,그것에 대해 더 | 말해주실 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-25,Extra/Reading_for_Fun,It's a big animal that has a long nose and big ears.,긴 코와 큰 귀를 가진 큰 동물입니다.,G0299,접속사/관계대명사 that,that + S + V / N + that,중,34,It's a big animal that has | a long nose and big ears.,긴 코와 큰 | 귀를 가진 큰 동물입니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
