id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L02-01,Listening,Let’s talk about the class party.,우리 학급 파티에 대해 이야기해 보자.,G0201,대화 시작하기,Let's talk about ...,하,28,Let’s talk about | the class party.,우리 학급 파티에 | 대해 이야기해 보자.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-02,Listening,Who will make sandwiches? I will. I can do it well.,누가 샌드위치를 만들 거니? 제가 할게요. 제가 잘할 수 있어요.,G0202,지원하기,Who will ...? I will.,하,28,Who will make sandwiches? I | will. I can do it well.,누가 샌드위치를 만들 거니? 제가 | 할게요. 제가 잘할 수 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-03,Listening,Thank you for volunteering.,자원해 줘서 고마워.,G0203,감사 표현,Thank you for V-ing,하,28,Thank you | for volunteering.,자원해 | 줘서 고마워.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-04,Listening,Why don’t we clean the place together?,그곳을 함께 청소하는 게 어떠니?,G0204,제안하기,Why don't we + V ...?,하,30,Why don’t we | clean the place together?,그곳을 함께 | 청소하는 게 어떠니?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-05,Listening,How about putting some flower pots around the bench?,벤치 주변에 화분 몇 개를 놓는 건 어때?,G0204,제안하기,How about V-ing ...?,하,30,How about putting some | flower pots around the bench?,벤치 주변에 화분 몇 | 개를 놓는 건 어때?,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-06,Listening,Thank you for suggesting great ideas," everyone.,모두 좋은 아이디어를 제안해 줘서 고마워요.,G0203",G0203,감사 표현,Thank you for V-ing,하,30,Thank you for | suggesting great ideas," everyone.,모두 좋은 | 아이디어를 제안해 줘서 고마워요.,G0203",Main Clause | Sub Clause,AutoParsed,generic_concept
L02-07,Main,My parents were making me work on the neighborhood project.,부모님은 내가 동네 프로젝트에서 일하게 하셨다.,G0205,사역동사,make + O + V (원형),중,32,My parents were making me | work on the neighborhood project.,부모님은 내가 동네 | 프로젝트에서 일하게 하셨다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-08,Main,It was full of dirty trash you can imagine.,그곳은 여러분이 상상할 수 있는 온갖 더러운 쓰레기들로 가득했다.,G0206,어구 표현,be full of,하,32,It was full of | dirty trash you can imagine.,그곳은 여러분이 상상할 수 | 있는 온갖 더러운 쓰레기들로 가득했다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-09,Main,I didn’t think that we could clean up this awful mess.,나는 우리가 이 지독한 엉망진창을 청소할 수 있을 것이라 생각지 않았다.,G0207,과거의 추측/생각,didn't think that ...,중,33,I didn’t think that we | could clean up this awful mess.,나는 우리가 이 지독한 엉망진창을 | 청소할 수 있을 것이라 생각지 않았다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L02-10,Main,By lunchtime," I was hot, sweaty, and glad my dad had made me wear gloves.,점심때쯤 나는 덥고 땀이 났지만 아버지가 나에게 장갑을 끼게 하셨던 것이 다행이었다.,G0208",G0208,과거완료 / 사역동사,had + made + O + V,상,33,By | lunchtime," I was hot, sweaty, and glad my dad had made me | wear gloves.,점심때쯤 나는 덥고 땀이 났지만 아버지가 나에게 장갑을 끼게 하셨던 것이 다행이었다.,G0208",Main Clause | Sub Clause,AutoParsed,generic_concept
