id,category,english,korean,grammar_id,grammar_name,structure,difficulty,page,syntax_chunks_eng,syntax_chunks_kor,syntax_roles,role_in_sentence,variation_flags
L05-01,Listening,"When I arrived, the performance had already started.",내가 도착했을 때 공연은 이미 시작되어 있었다.,G0501,과거완료,had + p.p.,중,92,"When I arrived, the | performance had already started.",내가 도착했을 때 | 공연은 이미 시작되어 있었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-02,Main,"He was a soccer player, but it was literature that he loved most.",그는 축구 선수였지만 가장 사랑한 것은 문학이었다.,G0503,It ~ that 강조구문,It was + N + that,상,112,"He was a soccer player, but | it was literature that he loved most.",그는 축구 선수였지만 | 가장 사랑한 것은 문학이었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-03,Main,Jake was late because he had missed the bus.,제이크는 버스를 놓쳤었기 때문에 늦었다.,G0504,과거완료,had + p.p.,중,115,Jake was late because | he had missed the bus.,제이크는 버스를 | 놓쳤었기 때문에 늦었다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-004,Reading,"At the time, Korea was under Japanese rule.",그 당시 한국은 일본의 통치하에 있었습니다.,G0503,It ~ that 강조구문 / 과거완료,It was + N + that / had + p.p.,상,112-115,"At the time, Korea | was under Japanese rule.",그 당시 한국은 | 일본의 통치하에 있었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-005,Reading,He was late for a meeting because he had missed the train.,그는 기차를 놓쳤었기 때문에 회의에 늦었습니다.,G0503,It ~ that 강조구문 / 과거완료,It was + N + that / had + p.p.,상,112-115,He was late for a meeting | because he had missed the train.,그는 기차를 놓쳤었기 | 때문에 회의에 늦었습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-006,Extra/Extracted,T F • The movie Four Eyes will come out next Thursday.,T F • 영화 포 아이즈(Four Eyes)가 다음 주 목요일에 개봉됩니다.,,조동사,Modal + V,중,,T F • The movie Four | Eyes will come out next Thursday.,T F • 영화 포 | 아이즈(Four Eyes)가 다음 주 목요일에 개봉됩니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-007,Extra/Extracted,You can say that again.,다시 말씀드리면 됩니다.,,접속사/관계대명사 that / 조동사,that + S + V / N + that / Modal + V,중,95,You can | say that again.,다시 | 말씀드리면 됩니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-008,Extra/Extracted,We are looking forward to seeing our baby.,우리는 우리 아기를 만나기를 고대하고 있습니다.,,to부정사 / 현재분사/동명사,to + V / V-ing,중,95,We are looking forward | to seeing our baby.,우리는 우리 아기를 | 만나기를 고대하고 있습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-009,Extra/Extracted,Can you recommend a cool name?,멋진 이름 추천해주실 수 있나요?,,조동사,Modal + V,중,110,Can you recommend | a cool name?,멋진 이름 | 추천해주실 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-010,Extra/Extracted,I want t o look in my photos.,내 사진을 보고 싶어요.,,일반 문장,-,중,96,I want t o | look in my photos.,내 사진을 | 보고 싶어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-011,Extra/Extracted,Can you recommend a good Listen again and complete.,좋은 것을 추천해 주실 수 있나요? 다시 듣고 완료해 주세요.,,조동사,Modal + V,중,110,Can you recommend a | good Listen again and complete.,좋은 것을 추천해 주실 수 | 있나요? 다시 듣고 완료해 주세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-012,Extra/Extracted,How Would You Like Your Hair Done?,머리를 어떻게 하시겠습니까?,,의문사 구문 / 조동사,Wh-word / Modal + V,중,96,How Would You | Like Your Hair Done?,머리를 | 어떻게 하시겠습니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-013,Extra/Extracted,I wonder if I can check the book out now.,지금 책을 확인할 수 있는지 궁금합니다.,,조건의 접속사 / 조동사,If/Unless + S + V / Modal + V,중,96,I wonder if I can | check the book out now.,지금 책을 확인할 | 수 있는지 궁금합니다.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L05-014,Extra/Extracted,"Sit on the chair and turn the TV on, please.",의자에 앉아 TV를 켜주세요.,,일반 문장,-,중,96,"Sit on the chair and | turn the TV on, please.",의자에 앉아 | TV를 켜주세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-015,Extra/Extracted,Script 5.4 All Ears MOM When are you going to Dream & Joy Park?,스크립트 5.4 올이어즈맘 드림앤조이파크에는 언제 가시나요?,,시간의 접속사 / to부정사,When/While + S + V / to + V,중,96,Script 5.4 All Ears MOM When are | you going to Dream & Joy Park?,스크립트 5.4 올이어즈맘 | 드림앤조이파크에는 언제 가시나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-016,Extra/Extracted,96   Lesson 5 Are You into Books?,96 제 5과 당신은 책을 좋아합니까?,,일반 문장,-,중,96,96   Lesson | 5 Are You into Books?,96 제 5과 | 당신은 책을 좋아합니까?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-017,Extra/Extracted,B Go to Anne’s Gifts.,B 앤의 선물 가게로 가세요.,,to부정사,to + V,중,97,B Go | to Anne’s Gifts.,B 앤의 | 선물 가게로 가세요.,Main Clause | Sub Clause,AutoParsed,"has_or_not, verb_of_uncertainty"
L05-018,Extra/Extracted,There’re lots of things to buy.,살 것이 많습니다.,,to부정사,to + V,중,97,There’re lots of | things to buy.,살 | 것이 많습니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-019,Extra/Extracted,A Will you recommend a fun TV program?,A 재미있는 TV 프로그램을 추천해 주실 수 있나요?,,조동사,Modal + V,중,97,A Will you recommend | a fun TV program?,A 재미있는 TV 프로그램을 | 추천해 주실 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-020,Extra/Extracted,B Pam and Sam is really funny.,B Pam과 Sam은 정말 재밌어요.,,일반 문장,-,중,97,B Pam and | Sam is really funny.,B Pam과 | Sam은 정말 재밌어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-021,Extra/Extracted,But don’t watch it before the exam.,하지만 시험 전에는 시청하지 마세요.,,시간의 접속사 / 지각동사,When/While + S + V / see/hear + O + V(ing),중,97,But don’t watch | it before the exam.,하지만 시험 | 전에는 시청하지 마세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-022,Extra/Extracted,Can You Recommend Some Good Music?,좋은 음악을 추천해 주실 수 있나요?,,조동사,Modal + V,중,110,Can You Recommend | Some Good Music?,좋은 음악을 추천해 | 주실 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-023,Extra/Extracted,l feel a little bored.,좀 지루한 것 같아.,,지각동사,see/hear + O + V(ing),중,97,l feel | a little bored.,좀 지루한 | 것 같아.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-024,Extra/Extracted,Mon   |   Tue Umbrella Kuku87 Fantasy webtoon I recommend you listen to Happy  by Pharrell Williams.,월 |   화 우산 쿠쿠87 판타지 웹툰 퍼렐 윌리엄스의 Happy를 들어보시길 권합니다.,,to부정사,to + V,중,97,Mon   |   Tue Umbrella Kuku87 Fantasy | webtoon I recommend you listen to Happy  by Pharrell Williams.,월 |   화 우산 쿠쿠87 | 판타지 웹툰 퍼렐 윌리엄스의 Happy를 들어보시길 권합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-025,Extra/Extracted,I'm sure you'll like it.,나는 당신이 그것을 좋아할 것이라고 확신합니다.,,일반 문장,-,중,97,I'm sure | you'll like it.,나는 당신이 그것을 | 좋아할 것이라고 확신합니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-026,Extra/Extracted,Rap Time 4QFBLCommunicate: 98   Lesson 5 Are You into Books?,랩 타임 4QFBL소통: 98 제 5과 책을 좋아하시나요?,,일반 문장,-,중,97,Rap Time 4QFBLCommunicate: 98   | Lesson 5 Are You into Books?,랩 타임 4QFBL소통: 98 | 제 5과 책을 좋아하시나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-027,Extra/Extracted,There we can have a nice dinner.,거기서 우리는 맛있는 저녁을 먹을 수 있어요.,,조동사 / 비교급,Modal + V / Comparative,중,98,There we can | have a nice dinner.,거기서 우리는 맛있는 | 저녁을 먹을 수 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-028,Extra/Extracted,B I’m looking forward to seeing Ken Kuller’s new movie.,B 켄 쿨러의 새 영화를 보고 싶어요.,,to부정사 / 현재분사/동명사,to + V / V-ing,중,95,B I’m looking forward to | seeing Ken Kuller’s new movie.,B 켄 쿨러의 | 새 영화를 보고 싶어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-029,Extra/Extracted,I’m Looking Forward to This Tuesday Get ready.,이번 화요일이 기대됩니다. 준비하세요.,,to부정사 / 현재분사/동명사,to + V / V-ing,중,98,I’m Looking Forward to | This Tuesday Get ready.,이번 화요일이 | 기대됩니다. 준비하세요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-030,Extra/Extracted,I’m really looking forward to this Tuesday.,이번 화요일이 정말 기대됩니다.,,to부정사 / 현재분사/동명사,to + V / V-ing,중,98,I’m really looking | forward to this Tuesday.,이번 화요일이 | 정말 기대됩니다.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-031,Extra/Extracted,There’s a big curling match.,큰 컬링 경기가 있어요.,,현재분사/동명사,V-ing,중,98,There’s a | big curling match.,큰 컬링 | 경기가 있어요.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-032,Extra/Extracted,Sep Tue a big curling match Mon today Thu see a movie with Jihun Fri a trip to Jeonju Sat Sun Wed no school go to the ballpark Sep Me Tue Mon today Thu Fri Sat Sun Wed 98   Lesson 5 Are You into Books?,9 화 큰 컬링 시합 월요일 목 지훈이랑 영화 보기 금 전주 여행 토 일 수 학교 안 가 야구장 9 미 화 월 오늘 목 금 토 일 수 98 5과 책을 좋아해요?,,to부정사 / 현재분사/동명사,to + V / V-ing,중,98,Sep Tue a big curling match Mon today Thu see a movie with Jihun Fri a trip to Jeonju Sat Sun Wed no | school go to the ballpark Sep Me Tue Mon today Thu Fri Sat Sun Wed 98   Lesson 5 Are You into Books?,9 화 큰 컬링 시합 월요일 목 지훈이랑 영화 보기 금 전주 여행 토 일 수 학교 | 안 가 야구장 9 미 화 월 오늘 목 금 토 일 수 98 5과 책을 좋아해요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-033,Extra/Extracted,Henry) The Last Leaf famous for wrote about 300 Step 2 Search online.,헨리) 2단계 온라인 검색에 약 300편의 글을 쓴 것으로 유명한 The Last Leaf.,,일반 문장,-,중,99,Henry) The Last Leaf famous for | wrote about 300 Step 2 Search online.,헨리) 2단계 온라인 검색에 약 300편의 | 글을 쓴 것으로 유명한 The Last Leaf.,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-034,Extra/Extracted,Can you tell me where you‛re from?,당신이 어디서 왔는지 말해 줄 수 있나요?,,의문사 구문 / 조동사,Wh-word / Modal + V,중,99,Can you tell | me where you‛re from?,당신이 어디서 왔는지 | 말해 줄 수 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-035,Extra/Extracted,What do you usually write?,보통 무엇을 쓰나요?,,의문사 구문,Wh-word,중,99,What do | you usually write?,보통 | 무엇을 쓰나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
L05-036,Extra/Extracted,What is special about your works?,당신의 작품에는 어떤 특별한 점이 있나요?,,의문사 구문,Wh-word,중,99,What is special | about your works?,당신의 작품에는 어떤 | 특별한 점이 있나요?,Main Clause | Sub Clause,AutoParsed,generic_concept
